age,workclass,education_num,marital_status,occupation,relationship,capital_gain,capital_loss,hours_per_week
33,Private,9,Married-civ-spouse,Prof-specialty,Husband,0,0,60
59,Private,10,Married-civ-spouse,Craft-repair,Husband,15024,0,50
80,Self-emp-not-inc,4,Married-civ-spouse,Farming-fishing,Husband,0,0,30
33,Private,9,Married-civ-spouse,Adm-clerical,Wife,0,1740,25
39,Private,14,Never-married,Exec-managerial,Not-in-family,8614,0,52
36,Private,9,Divorced,Machine-op-inspct,Unmarried,0,0,38
57,Private,14,Never-married,Prof-specialty,Not-in-family,0,0,80
26,Private,8,Married-civ-spouse,Craft-repair,Husband,0,0,40
51,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,0,0,60
47,Private,7,Divorced,Other-service,Unmarried,0,0,40
24,Private,13,Never-married,Adm-clerical,Not-in-family,0,0,40
46,Private,10,Married-civ-spouse,Exec-managerial,Husband,0,0,60
88,Self-emp-not-inc,15,Married-civ-spouse,Exec-managerial,Husband,0,0,40
21,?,10,Never-married,?,Own-child,0,0,10
18,Private,9,Married-spouse-absent,Other-service,Own-child,0,0,40
38,Private,9,Never-married,Sales,Own-child,0,0,40
47,Self-emp-inc,15,Divorced,Prof-specialty,Not-in-family,27828,0,50
42,Self-emp-inc,2,Married-civ-spouse,Sales,Husband,0,0,60
27,Private,9,Never-married,Handlers-cleaners,Own-child,0,0,40
43,Self-emp-not-inc,10,Married-civ-spouse,Sales,Husband,7298,0,50
38,Private,14,Married-civ-spouse,Prof-specialty,Husband,0,0,40
30,Private,9,Divorced,Craft-repair,Not-in-family,0,0,40
19,Private,10,Never-married,Exec-managerial,Own-child,0,0,35
18,Private,7,Never-married,Prof-specialty,Other-relative,0,0,3
43,State-gov,14,Married-civ-spouse,Exec-managerial,Husband,0,0,40
38,Private,9,Married-civ-spouse,Transport-moving,Husband,0,0,40
22,Private,9,Never-married,Handlers-cleaners,Own-child,0,0,40
37,Private,9,Never-married,Machine-op-inspct,Not-in-family,0,0,40
43,Private,13,Never-married,Prof-specialty,Not-in-family,0,0,40
47,Private,10,Married-civ-spouse,Transport-moving,Husband,0,0,50
43,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,0,0,60
45,Private,13,Separated,Exec-managerial,Not-in-family,0,0,55
37,Private,10,Never-married,Tech-support,Own-child,0,0,40
31,Private,2,Married-civ-spouse,Farming-fishing,Husband,0,0,45
41,Private,13,Divorced,Other-service,Not-in-family,0,0,40
17,Private,7,Never-married,Craft-repair,Own-child,0,0,17
62,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,0,0,90
24,Private,11,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40
36,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,38
52,Private,10,Married-civ-spouse,Tech-support,Husband,0,0,40
27,?,13,Married-spouse-absent,?,Not-in-family,0,0,50
