start_time,end_time,elapsed_time
2024-09-05T21:35:07.438824,2024-09-05T21:35:47.370833,0 days 00:00:39.932009
2024-09-12T22:55:52.062141,2024-09-12T22:56:33.973517,0 days 00:00:41.911376
2024-09-12T23:25:20.369002,2024-09-12T23:26:02.608622,0 days 00:00:42.239620
2024-09-12T23:30:36.939876,2024-09-12T23:31:19.545560,0 days 00:00:42.605684
2024-09-12T23:39:26.576389,2024-09-12T23:40:09.890090,0 days 00:00:43.313701
2024-09-13T01:00:19.558229,2024-09-13T01:01:01.342761,0 days 00:00:41.784532
2024-09-13T01:03:37.362715,2024-09-13T01:04:23.964352,0 days 00:00:46.601637
2024-09-13T01:11:20.206686,2024-09-13T01:12:02.099402,0 days 00:00:41.892716
2024-09-13T17:26:27.545976,2024-09-13T17:27:07.658781,0 days 00:00:40.112805
2024-09-13T18:13:12.726937,2024-09-13T18:13:51.389344,0 days 00:00:38.662407
2024-09-13T18:15:20.256952,2024-09-13T18:15:59.396076,0 days 00:00:39.139124
2024-09-13T18:20:38.016494,2024-09-13T18:21:17.163970,0 days 00:00:39.147476
2024-09-13T18:22:40.882764,2024-09-13T18:23:21.406299,0 days 00:00:40.523535
2024-09-18T22:39:50.445330,2024-09-18T22:40:43.090155,0 days 00:00:52.644825
