feature	value	precision	recall	f1-score	support	roc_auc_score	accuracy
occupation	Armed-Forces	1.0	1.0	1.0	9.0	1.0	1.0
workclass	Without-pay	1.0	1.0	1.0	14.0	0.0	1.0
workclass	Never-worked	1.0	1.0	1.0	7.0	0.0	1.0
relationship	Own-child	0.991	0.992	0.99	5064.0	0.694	0.992
occupation	Priv-house-serv	0.995	0.986	0.99	147.0	0.993	0.986
relationship	Other-relative	0.978	0.979	0.975	981.0	0.729	0.979
marital_status	Never-married	0.972	0.974	0.97	10667.0	0.743	0.974
marital_status	Separated	0.967	0.968	0.964	1025.0	0.764	0.968
occupation	Other-service	0.969	0.968	0.958	3291.0	0.613	0.968
relationship	Unmarried	0.961	0.962	0.955	3445.0	0.708	0.962
occupation	Handlers-cleaners	0.954	0.955	0.944	1369.0	0.65	0.955
marital_status	Married-spouse-absent	0.939	0.945	0.938	418.0	0.715	0.945
marital_status	Widowed	0.945	0.947	0.937	993.0	0.704	0.947
relationship	Not-in-family	0.936	0.94	0.932	8292.0	0.741	0.94
occupation	?	0.928	0.934	0.93	1843.0	0.766	0.934
workclass	?	0.928	0.934	0.929	1836.0	0.766	0.934
marital_status	Divorced	0.935	0.937	0.928	4441.0	0.727	0.937
occupation	Adm-clerical	0.917	0.912	0.914	3768.0	0.834	0.912
occupation	Farming-fishing	0.909	0.917	0.905	992.0	0.693	0.917
occupation	Machine-op-inspct	0.894	0.902	0.897	2000.0	0.729	0.902
workclass	State-gov	0.886	0.885	0.886	1298.0	0.859	0.885
workclass	Private	0.882	0.874	0.877	22673.0	0.843	0.874
workclass	Local-gov	0.87	0.867	0.868	2093.0	0.85	0.867
occupation	Tech-support	0.868	0.859	0.861	927.0	0.855	0.859
occupation	Sales	0.856	0.847	0.85	3650.0	0.828	0.847
workclass	Federal-gov	0.85	0.846	0.847	960.0	0.845	0.846
occupation	Protective-serv	0.839	0.837	0.838	649.0	0.82	0.837
occupation	Transport-moving	0.832	0.843	0.835	1597.0	0.714	0.843
occupation	Prof-specialty	0.842	0.835	0.835	4136.0	0.839	0.835
workclass	Self-emp-not-inc	0.837	0.84	0.832	2540.0	0.762	0.84
occupation	Exec-managerial	0.826	0.82	0.82	4065.0	0.822	0.82
occupation	Craft-repair	0.825	0.799	0.808	4094.0	0.769	0.799
workclass	Self-emp-inc	0.803	0.799	0.796	1116.0	0.788	0.799
relationship	Wife	0.778	0.774	0.774	1568.0	0.776	0.774
marital_status	Married-civ-spouse	0.776	0.765	0.766	14970.0	0.771	0.765
relationship	Husband	0.774	0.762	0.762	13187.0	0.769	0.762
marital_status	Married-AF-spouse	0.741	0.739	0.734	23.0	0.723	0.739
